Packet drops detected:
At index 26169 (Timestamp: 20240605 13:36:33), Delay: 2.0 seconds
At index 26181 (Timestamp: 20240605 13:36:46), Delay: 2.0 seconds
At index 26184 (Timestamp: 20240605 13:36:49), Delay: 2.0 seconds
At index 26214 (Timestamp: 20240605 13:37:20), Delay: 2.0 seconds
At index 26265 (Timestamp: 20240605 13:38:12), Delay: 2.0 seconds
At index 26313 (Timestamp: 20240605 13:39:02), Delay: 3.0 seconds
At index 26365 (Timestamp: 20240605 13:39:55), Delay: 2.0 seconds
At index 26405 (Timestamp: 20240605 13:40:36), Delay: 2.0 seconds
At index 26415 (Timestamp: 20240605 13:40:47), Delay: 2.0 seconds
At index 26442 (Timestamp: 20240605 13:41:15), Delay: 2.0 seconds
At index 26486 (Timestamp: 20240605 13:42:00), Delay: 2.0 seconds
At index 26528 (Timestamp: 20240605 13:42:43), Delay: 2.0 seconds
At index 26561 (Timestamp: 20240605 13:43:17), Delay: 2.0 seconds
At index 26573 (Timestamp: 20240605 13:43:30), Delay: 2.0 seconds
At index 26586 (Timestamp: 20240605 13:43:44), Delay: 2.0 seconds
At index 26649 (Timestamp: 20240605 13:44:48), Delay: 2.0 seconds
At index 26713 (Timestamp: 20240605 13:45:53), Delay: 2.0 seconds
At index 26716 (Timestamp: 20240605 13:45:57), Delay: 2.0 seconds
At index 26775 (Timestamp: 20240605 13:46:57), Delay: 2.0 seconds
At index 26785 (Timestamp: 20240605 13:47:08), Delay: 2.0 seconds
At index 26810 (Timestamp: 20240605 13:47:34), Delay: 2.0 seconds
At index 26861 (Timestamp: 20240605 13:48:26), Delay: 2.0 seconds
At index 26887 (Timestamp: 20240605 13:48:53), Delay: 2.0 seconds
At index 26948 (Timestamp: 20240605 13:49:56), Delay: 3.0 seconds
At index 26977 (Timestamp: 20240605 13:50:26), Delay: 2.0 seconds
At index 27019 (Timestamp: 20240605 13:51:09), Delay: 2.0 seconds
At index 27070 (Timestamp: 20240605 13:52:01), Delay: 2.0 seconds
At index 27090 (Timestamp: 20240605 13:52:22), Delay: 2.0 seconds
At index 27105 (Timestamp: 20240605 13:52:38), Delay: 2.0 seconds
At index 27139 (Timestamp: 20240605 13:53:13), Delay: 2.0 seconds
At index 27174 (Timestamp: 20240605 13:53:49), Delay: 2.0 seconds
At index 27226 (Timestamp: 20240605 13:54:42), Delay: 2.0 seconds
At index 27273 (Timestamp: 20240605 13:55:30), Delay: 2.0 seconds
At index 27293 (Timestamp: 20240605 13:55:51), Delay: 2.0 seconds
At index 27339 (Timestamp: 20240605 13:56:38), Delay: 2.0 seconds
At index 27359 (Timestamp: 20240605 13:56:59), Delay: 2.0 seconds
At index 27390 (Timestamp: 20240605 13:57:31), Delay: 2.0 seconds
At index 27404 (Timestamp: 20240605 13:57:46), Delay: 2.0 seconds
At index 27453 (Timestamp: 20240605 13:58:36), Delay: 2.0 seconds
At index 27483 (Timestamp: 20240605 13:59:07), Delay: 2.0 seconds
At index 27495 (Timestamp: 20240605 13:59:20), Delay: 2.0 seconds
At index 27525 (Timestamp: 20240605 13:59:51), Delay: 2.0 seconds
At index 27564 (Timestamp: 20240605 14:00:31), Delay: 2.0 seconds
At index 27593 (Timestamp: 20240605 14:01:01), Delay: 2.0 seconds
At index 27602 (Timestamp: 20240605 14:01:11), Delay: 2.0 seconds
At index 27604 (Timestamp: 20240605 14:01:14), Delay: 2.0 seconds
At index 27640 (Timestamp: 20240605 14:01:51), Delay: 2.0 seconds
At index 27681 (Timestamp: 20240605 14:02:33), Delay: 2.0 seconds
At index 27739 (Timestamp: 20240605 14:03:32), Delay: 2.0 seconds
At index 27766 (Timestamp: 20240605 14:04:00), Delay: 2.0 seconds
At index 27812 (Timestamp: 20240605 14:04:47), Delay: 2.0 seconds
At index 27831 (Timestamp: 20240605 14:05:07), Delay: 2.0 seconds
At index 27834 (Timestamp: 20240605 14:05:11), Delay: 2.0 seconds
At index 27847 (Timestamp: 20240605 14:05:25), Delay: 2.0 seconds
At index 27873 (Timestamp: 20240605 14:05:52), Delay: 2.0 seconds
At index 27912 (Timestamp: 20240605 14:06:32), Delay: 2.0 seconds
At index 27932 (Timestamp: 20240605 14:06:53), Delay: 2.0 seconds
At index 27960 (Timestamp: 20240605 14:07:22), Delay: 2.0 seconds
At index 28009 (Timestamp: 20240605 14:08:12), Delay: 2.0 seconds
At index 28018 (Timestamp: 20240605 14:08:22), Delay: 2.0 seconds
At index 28059 (Timestamp: 20240605 14:09:04), Delay: 2.0 seconds
At index 28080 (Timestamp: 20240605 14:09:26), Delay: 2.0 seconds
At index 28137 (Timestamp: 20240605 14:10:24), Delay: 2.0 seconds
At index 28141 (Timestamp: 20240605 14:10:29), Delay: 2.0 seconds
At index 28152 (Timestamp: 20240605 14:10:41), Delay: 2.0 seconds
At index 28190 (Timestamp: 20240605 14:11:20), Delay: 2.0 seconds
At index 28239 (Timestamp: 20240605 14:12:10), Delay: 2.0 seconds
At index 28287 (Timestamp: 20240605 14:12:59), Delay: 2.0 seconds
At index 28314 (Timestamp: 20240605 14:13:27), Delay: 2.0 seconds
At index 28378 (Timestamp: 20240605 14:14:32), Delay: 2.0 seconds
At index 28439 (Timestamp: 20240605 14:15:34), Delay: 2.0 seconds
At index 28478 (Timestamp: 20240605 14:16:15), Delay: 3.0 seconds
At index 28491 (Timestamp: 20240605 14:16:29), Delay: 2.0 seconds
At index 28540 (Timestamp: 20240605 14:17:19), Delay: 2.0 seconds
At index 28542 (Timestamp: 20240605 14:17:22), Delay: 2.0 seconds
At index 28581 (Timestamp: 20240605 14:18:02), Delay: 2.0 seconds
At index 28643 (Timestamp: 20240605 14:19:05), Delay: 2.0 seconds
At index 28671 (Timestamp: 20240605 14:19:34), Delay: 2.0 seconds
At index 28677 (Timestamp: 20240605 14:19:41), Delay: 2.0 seconds
At index 28683 (Timestamp: 20240605 14:19:47), Delay: 2.0 seconds
At index 28730 (Timestamp: 20240605 14:20:35), Delay: 2.0 seconds
At index 28767 (Timestamp: 20240605 14:21:13), Delay: 2.0 seconds
At index 28831 (Timestamp: 20240605 14:22:18), Delay: 2.0 seconds
